scorer,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000
bodyparts,tail,tail,tail,spine4,spine4,spine4,spine3,spine3,spine3,spine2,spine2,spine2,spine1,spine1,spine1,head,head,head,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
frame0000,511.416,97.233,1,436.0105075,126.705039,1,427.435,147.293,0.931999981,428.615,183.7037922,0.995000005,428.604,219.664,0.963,431.396,245.2749851,1,434.289974,259.4987463,1,417.1271642,234.721,0.999000013,436.768,229.117,0.986999989
frame0001,511.366,97.376,1,436.2082388,126.6031169,1,427.604,147.412,0.940999985,428.887,183.6046753,0.994000018,428.551,219.786,0.967999995,431.115,245.27,0.999000013,434.09,259.4783284,1,417.5215522,234.6200597,0.999000013,436.735,229.055,0.987999976
frame0002,510.209,96.663,1,436.1007761,126.5928312,1,427.605,147.373,0.944999993,428.719,183.873974,0.995000005,428.518,220.015,0.963,431.095,245.202,0.999000013,434.061,259.4278209,1,417.4022687,234.5319403,0.999000013,436.73,229.058,0.98299998
frame0003,510.216,96.603,0.999000013,435.996,126.158961,1,427.708,147.385,0.943000019,428.73,183.5831688,0.992999971,428.639,220.039,0.963,431.363,245.034,0.999000013,434.469,259.6792836,1,417.1722985,234.6103881,0.999000013,436.776,229.097,0.984000027
frame0004,510.188,96.27,0.999000013,436.086806,126.3843117,1,427.618,147.249,0.926999986,428.8717612,183.6991169,0.994000018,428.54,220.06,0.963999987,431.226,245.1543896,0.999000013,434.415,259.7168955,1,417.1561791,234.5158209,0.999000013,436.777,229.2028657,0.98299998
frame0005,510.524,96.706,1,436.0298507,126.5170909,1,427.545,147.298,0.927999973,428.886806,183.8075844,0.995000005,428.54,219.926,0.973999977,431.387,244.805,0.999000013,434.982,259.5524776,1,417.3431642,234.435,0.999000013,436.886,229.1910448,0.98299998
frame0006,511.2,96.561,1,435.9922388,126.5376623,1,427.487,147.286,0.930999994,428.9738507,183.6701299,0.995000005,428.425,219.852,0.973999977,431.443,244.748,0.999000013,435.053,259.0807164,1,417.510806,234.432,0.999000013,436.914,229.07,0.984000027
frame0007,511.026,96.342,0.999000013,436.709,126.4432208,1,427.735,150.9721791,0.990999997,428.857791,183.4812468,0.995999992,428.476,219.746,0.968999982,431.461,244.7317403,0.999000013,434.552,259.3106866,1,417.5806567,234.351,0.999000013,436.9,229.0072836,0.98299998
frame0008,511.133,96.269,1,436.685,126.4731429,1,427.772,151.0033433,0.991999984,428.948,183.5971948,0.995999992,428.48,219.829,0.970000029,431.343,244.826,0.999000013,434.546,259.1559403,1,417.481791,234.704,0.999000013,436.757,229.2292987,0.977999985
frame0009,511.229,96.088,1,436.3694328,126.7153247,1,427.584,147.333,0.957000017,428.958,183.7627013,0.996999979,428.432,219.68,0.976999998,430.912,244.6896623,0.999000013,434.6527792,259.2644776,1,417.2711642,234.744,0.999000013,436.723,229.2788571,0.986000001
frame0010,510.843,95.902,0.999000013,436.4392836,126.8322078,1,427.71,150.9431642,0.992999971,429.1425672,183.8234805,0.996999979,428.415,219.817,0.976000011,430.6588657,244.5933506,0.999000013,434.8033247,259.1043582,1,417.2679403,234.565,0.999000013,436.685,229.2900779,0.986999989
frame0011,510.532,96.148,1,436.501,126.7461818,1,427.833,150.8829851,0.992999971,428.950209,183.3531429,0.996999979,428.49,218.6607761,0.971000016,430.843,244.5288312,0.999000013,434.8687792,258.9506866,1,417.0282985,234.249,0.999000013,436.741,228.8364179,0.987999976
frame0012,511.047,96.23,1,436.435,126.7545974,1,427.804,147.497,0.957000017,428.9190448,183.1876364,0.996999979,428.471,218.7424478,0.967999995,430.76,244.6718961,0.999000013,434.764987,259.0989851,1,416.9627463,234.239,0.999000013,436.728,228.9567761,0.984000027
frame0013,510.956,96.285,0.999000013,436.3866269,126.7134545,1,427.754,147.407,0.966000021,428.8545672,183.1913766,0.998000026,428.493,218.7026866,0.971000016,430.564,244.814026,0.999000013,434.6976623,258.9797015,1,416.8585075,234.257,0.999000013,436.761,229.305974,0.984000027
frame0014,510.876,96.131,0.999000013,436.2007164,126.5264416,1,427.688,150.8980299,0.992999971,429.0694925,183.4214026,0.998000026,428.466,219.61,0.967000008,430.585,244.7261299,0.999000013,434.5003636,259.2655522,1,417.24,234.388,0.999000013,436.672,228.97,0.986000001
frame0015,510.322,95.23075325,0.999000013,436.8025075,123.5192727,1,428.367,152.9700779,0.986999989,429.4164156,184.2395844,0.998000026,428.797,220.559,0.984000027,431.695,245.2137313,1,434.9145974,259.3257313,1,415.6120519,234.438,1,437.159,228.8412468,0.976999998
frame0016,512.261,97.711,1,436.662,124.2841558,1,428.598,153.3160519,0.986999989,428.1646567,187.0345075,0.995000005,429.013,220.7753766,0.94599998,430.119,249.8802078,0.999000013,433.079,266.1313433,1,415.556,238.7885373,1,436.381,236.8407273,0.994000018
frame0017,510.318,97.858,1,436.933,129.528,1,429.771,159.3585672,0.971000016,429.717,195.162,0.999000013,428.328,235.468,0.986000001,430.238,258.7193766,1,432.223,273.085,1,415.8494328,248.558961,1,437.411,243.89,0.986000001
frame0018,508.007,101.2169552,1,436.328,138.4326234,1,430.0298182,167.2355821,0.985000014,430.036,205.338,0.998000026,426.523,243.3693506,0.987999976,430.029,266.38,0.998000026,429.516,283.2856119,1,415.2605373,256.4032208,1,436.487,257.4972468,0.996999979
frame0019,505.1080519,107.931,1,433.569,150.8334545,0.989000022,427.125,180.395,0.61500001,427.798209,216.365,0.995000005,429.039,253.0413134,0.930000007,430.52,278.6507463,0.999000013,430.773,294.0544478,1,416.103,268.4851948,1,436.505,270.7877015,0.995000005
frame0020,495.484,112.5434805,1,427.546,165.2904935,0.996999979,428.552,190.3567792,0.523999989,427.0151688,231.1984478,0.985000014,427.4206493,267.6757463,0.827999949,429.0791642,287.861,0.999000013,431.411,302.296,1,416.4007164,279.388987,1,437.269,279.0290149,0.992999971
frame0021,487.4496716,120.8009552,1,426.436,174.4728312,1,427.169,203.282,0.920000017,427.225,238.48,0.977999985,428.74,275.973,0.816999972,430.635,294.791,1,432.4395224,310.2974328,1,415.8118209,284.6870649,1,436.616,287.784,0.999000013
frame0022,486.6077922,127.6073766,1,425.753194,182.0627532,1,427.602,206.3145974,0.989000022,425.6822687,238.9250149,0.989000022,428.352,280.7237015,0.906000018,430.283,304.992,1,432.659,318.891,1,418.1675844,295.949,1,437.615,294.9746494,0.999000013
frame0023,491.2718961,137.508,1,428.476,187.1887792,1,427.073,212.961974,0.976000011,423.1814026,249.0748657,0.99000001,429.53,287.28,0.699000001,431.944,314.5551045,1,432.374961,326.1374328,1,416.0084776,303.0909851,1,436.333,303.8054026,0.994000018
frame0024,491.8556418,141.073791,1,428.161,196.3561558,1,427.831,227.0213731,0.986000001,425.6048955,255.9213134,0.978999972,426.3560597,298.2121791,0.925999999,430.425,319.759,1,432.9091343,334.673,1,416.816597,309.744,1,437.18,309.252,0.998000026
frame0025,493.8275821,146.2637922,1,431.164,201.843,1,426.797,236.048,0.959999979,425.832,271.710806,0.93900001,427.4113433,308.488,0.825999975,431.449,329.4601791,1,431.3455522,343.5681039,1,415.037,318.2561194,1,435.653,319.7145974,0.996999979
frame0026,494.2230448,146.0786494,1,436.095403,214.7741299,1,427.401,244.6517015,0.990999997,426.2271045,280.9482985,0.995000005,428.294,315.6834627,0.805000007,430.2419104,338.1484675,1,431.851,353.8649552,1,417.697,329.6290909,1,436.774,329.814806,0.998000026
frame0027,493.431,150.137194,0.999000013,431.252,221.5160597,1,427.235,251.775,0.949000001,426.873,284.3242597,0.992999971,427.0663881,325.044,0.887000024,431.027,348.0007164,1,431.3186866,360.9575065,1,415.8374026,337.4682985,1,436.017,338.9825455,0.996999979
frame0028,488.4891429,156.1798209,0.999000013,426.894,230.0222338,1,427.396,255.8718806,0.971000016,428.116,290.3227013,0.967999995,428.194,331.661,0.566999972,430.363,356.453,1,433.06,373.1451429,1,415.6452537,346.837,1,436.139,347.0969552,0.999000013
frame0029,477.0924179,159.1358961,1,423.0205714,237.6907013,0.999000013,427.05,267.078,0.88499999,424.238026,304.718961,0.95599997,425.7859632,339.5336476,0.455500007,428.4376119,367.849,0.999000013,432.132,382.287,1,416.1955325,356.9609552,1,436.924,357.459,0.995999992
frame0030,469.878,169.142026,0.995999992,421.981,252.342806,0.999000013,424.0771948,279.9892987,0.861999989,424.1894026,322.9490149,0.989000022,423.4497662,355.6509851,0.533999979,428.94,378.950961,0.999000013,428.9029254,390.524,1,416.5761039,369.1327792,1,435.176,368.769039,0.989000022
frame0031,467.8485195,180.9556364,0.995999992,422.732,262.7151045,0.996999979,419.7617761,285.2755299,0.71450001,424.4582687,325.9042388,0.981999993,428.488791,364.2214552,0.600499988,429.205,389.151403,0.998000026,429.278,400.6617313,1,419.623,378.1982338,1,437.243,378.4881039,0.992999971
frame0032,467.068,184.2592208,0.995999992,422.4464416,266.4532987,0.999000013,420.697,295.2439481,0.587000012,423.9303896,341.2584935,0.930000007,428.5859104,378.494,0.795000017,430.474,395.4981493,0.999000013,429.732,407.0113247,1,418.3404179,386.0873766,1,435.914,386.192,0.995000005
frame0033,469.9804675,191.5726567,0.998000026,423.8586269,274.422,0.996999979,422.9504416,298.574,0.629999995,423.7471169,347.474,0.871999979,428.912,386.073,0.824999988,428.7,399.908,1,427.501,414.0666269,1,419.139,392.701,0.999000013,437.313,393.0124675,0.995999992
frame0034,472.3995224,199.7430448,0.999000013,423.9284776,279.452,0.999000013,423.432,307.865,0.825999975,423.5731948,355.8006234,0.893000007,428.046,392.7562597,0.536000013,429.7314627,408.219,0.998000026,428.3129552,420.5239481,1,418.503,401.434,1,436.204,398.5396364,0.998000026
frame0035,473.1624935,203.4963117,0.998000026,427.3471169,288.8059701,1,422.9495065,318.1277922,0.702000022,424.4456104,363.621,0.948000014,428.5053134,399.729039,0.547999978,428.336597,415.978,0.999000013,427.173,428.969,1,418.3103284,407.7145075,1,436.536,406.710806,0.991999984
frame0036,474.831,210.0938507,0.999000013,427.584,297.3632239,0.998000026,420.953,331.808,0.691999972,424.5802597,371.8089351,0.948000014,428.347,409.894,0.451999992,429.236,425.888,0.999000013,427.3791045,437.2139221,1,418.391,418.384,0.999000013,435.105,419.535,0.996999979
frame0037,472.4724156,216.2029091,0.998000026,428.544,309.248597,0.990999997,428.083,332.178,0.574000001,426.133,382.348,0.941999972,429.48,418.995,0.638000011,428.507,435.7309091,1,428.334,446.0614925,1,418.993,426.8525373,1,436.904,427.3873247,0.999000013
frame0038,469.446,221.086,0.995000005,427.387,317.6462338,0.999000013,425.7897313,340.056,0.611999989,425.826,390.6252468,0.879999995,428.078,369.5367273,0.551999986,430.49,444.1455584,0.999000013,427.432,457.5911642,1,419.3817313,436.3835844,1,435.854,438.3855584,0.998000026
frame0039,467.762,231.1382687,0.999000013,425.356,325.222,1,426.964,355.785,0.839999974,425.9557403,394.5223881,0.962000012,430.545039,435.903,0.208000004,428.0765373,454.1414026,1,426.951,463.1451429,1,417.923,443.8875224,1,436.111,444.542961,0.999000013
frame0040,465.651,240.8895584,0.999000013,422.7539104,336.3130746,0.998000026,424.6484776,364.443,0.967000008,427.761,401.3924776,0.987999976,428.387,438.6604675,0.381999999,430.7984416,463.824,0.998000026,430.3923582,474.9737143,1,418.1082985,452.9491948,1,436.386,453.1801558,0.995999992
frame0041,456.897,247.7744416,0.995999992,419.459,345.959,0.996999979,420.665,379.752,0.744000018,426.842,415.962,0.933000028,428.191,458.07,0.656000018,429.985,473.9582338,1,428.965,488.1299104,1,418.463,466.311,1,438.4472727,467.883,0.999000013
frame0042,453.469,261.9705974,1,420.443,355.9271642,1,423.5984416,390.7912836,0.920000017,427.256,425.6686753,0.985000014,432.0233766,467.512,0.890999973,432.0118209,483.5894026,1,432.1740896,496.6354286,1,421.913,474.6735584,1,440.555,474.5024416,0.999000013
frame0043,453.405,273.6813506,0.996999979,422.7437922,368.5951169,1,421.593,398.9079403,0.915000021,426.0164776,435.5161791,0.964999974,432.3880519,476.9473433,0.966000021,433.8666269,496.7871045,1,435.7504478,509.301,1,423.2468571,487.3305974,1,442.2884776,485.8681558,0.998000026
frame0044,459.4771343,283.1853506,0.999000013,427.353,381.1647761,0.999000013,426.723,412.371,0.947000027,426.567,448.223,0.847000003,435,489.5953247,0.922999978,434.823,505.7878442,0.999000013,436.391,517.3973731,1,426.97,499.552,1,443.566,500.7964675,0.996999979
frame0045,467.871,295.9087792,0.995000005,428.676,393.9353766,0.991999984,422.7662338,423,0.957000017,428.062,465.7819701,0.990999997,434.159,504.2253506,0.986000001,434.8327164,516.2303284,1,437.662209,528.4463377,1,426.628,509.9287164,1,443.168,509.9738507,0.999000013
