scorer,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000
bodyparts,tail,tail,tail,spine4,spine4,spine4,spine3,spine3,spine3,spine2,spine2,spine2,spine1,spine1,spine1,head,head,head,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
frame0000,1011.864,531.901,0.644999981,926.11,543.147,0.957000017,917.132,556.378,0.957000017,904.6466866,555.0232836,0.893000007,885.7112727,563.11,0.897000015,866.634,558.9564179,0.991999984,844.5159403,551.489,0.998000026,881.911,557.6077612,0.996999979,879.5753766,572.6546866,0.998000026
frame0001,1012.073,531.986,0.39199999,926.118,543.2,0.962000012,917.148,556.23,0.950999975,904.5607164,554.9910448,0.860000014,885.9197922,563.003,0.884000003,866.628,559.1423284,0.991999984,844.3708657,551.256,0.998000026,881.88,557.4111045,0.996999979,879.6520519,572.3462687,0.998000026
frame0002,1012.021,531.961,0.449999988,926.043,542.825,0.97299999,917.065,556.145,0.949000001,904.5209552,554.9964179,0.866999984,886.0095584,562.898,0.888000011,866.54,558.2031045,0.991999984,844.1871045,551.394,0.996999979,882.006,557.1413731,0.996999979,879.9606234,572.4730746,0.996999979
frame0003,1012.046,532.008,0.490999997,926.129,542.888,0.976999998,917.149,556.06,0.948000014,904.806806,555.4391642,0.873000026,886.1227013,563.016,0.879000008,866.72,558.3707463,0.989000022,844.3740896,551.341,0.995999992,882.484,557.2015522,0.996999979,879.8942338,572.4612537,0.996999979
frame0004,1012.048,532.007,0.476999998,926.127,542.907,0.975000024,917.167,556.121,0.941999972,904.9239403,555.327403,0.837000012,886.0142338,563.113,0.904999971,866.818,559.0145455,0.990999997,844.4267463,551.453,0.995999992,882.713,557.4487164,0.995999992,879.8904935,572.6514627,0.998000026
frame0005,1012.072,532.01,0.472000003,926.349,542.98,0.977999985,917.189,555.932,0.940999985,904.8949254,555.1984478,0.869000018,886.1647792,563.208,0.912,866.873,559.3408831,0.986999989,844.6620896,551.21,0.995999992,882.997,557.5443582,0.995000005,879.8736623,574.0076418,0.996999979
frame0006,1012.074,532.012,0.463,926.18,542.895,0.97299999,917.142,555.991,0.944999993,906.896,556.459,0.838,885.9113766,563.289,0.922999978,866.728,558.305194,0.989000022,844.3203582,551.575,0.996999979,882.663,557.4970746,0.995999992,879.9737143,572.8223284,0.996999979
frame0007,1012.072,532.008,0.451000005,926.131,542.717,0.981000006,917.125,556.157,0.953999996,904.8057313,555.5154627,0.864000022,885.96,563.082,0.90200001,866.723,558.3395821,0.992999971,844.3203582,551.921,0.996999979,882.287,557.2477612,0.996999979,879.9596883,573.9485373,0.995999992
frame0008,1012.074,532.01,0.469999999,926.211,542.754,0.977999985,917.113,556.162,0.958999991,906.486,556.263,0.853999972,885.8328312,563.1,0.939999998,866.652,558.4201791,0.991999984,844.5438806,551.803,0.996999979,882.155,557.64,0.996999979,880.1242597,574.1505672,0.998000026
frame0009,1012.068,532.01,0.56400001,926.393,540.7284156,0.992999971,917.029,556.027,0.966000021,905.1797015,555.0125373,0.843999982,885.9618701,562.972,0.944999993,866.743,558.3632239,0.990999997,844.6900299,551.709,0.996999979,881.806,557.7259701,0.996999979,879.9522078,574.2139701,0.998000026
frame0010,1012.069,532.009,0.384000003,926.397,540.8172468,0.990999997,917.102,556.029,0.964999974,906.593,556.428,0.838,885.8552727,562.973,0.952000022,866.686,558.3814925,0.991999984,844.614806,551.753,0.996999979,881.752,557.7313433,0.996999979,879.9606234,574.2569552,0.998000026
frame0011,1012.066,532.009,0.375,926.131,540.7658182,0.991999984,917.116,555.986,0.954999983,905.2398806,555.1038806,0.861000001,886.1292468,562.927,0.941999972,866.679,558.3288358,0.990999997,844.6448955,551.635,0.996999979,881.77,557.2219701,0.996999979,879.8914286,574.4589851,0.999000013
frame0012,1012.066,532.008,0.35800001,926.232,540.7938701,0.991999984,917.132,555.95,0.952000022,905.209791,554.9953433,0.843999982,886.0852987,563.03,0.939999998,866.744,558.3094925,0.991999984,844.9962985,551.47,0.996999979,881.872,557.2692537,0.996999979,879.8212987,574.4009552,0.999000013
frame0013,965.6056492,495.4038364,0.347499996,926.193,540.8696104,0.991999984,917.084,555.93,0.950999975,905.1904478,554.9792239,0.874000013,886.1376623,563.047,0.930000007,866.734,558.4072836,0.991999984,844.7974925,551.439,0.995999992,881.813,557.1811343,0.996999979,879.7212468,574.4138507,0.999000013
frame0014,1004.011,531.962,0.338,926.195,542.753,0.977999985,917.126,556.181,0.961000025,904.9551045,555.3069851,0.856999993,885.8150649,563.076,0.921999991,866.543,558.2718806,0.994000018,844.5879403,551.742,0.998000026,882.021,557.046806,0.996999979,879.3734026,574.2225672,0.998000026
frame0015,917.2896716,455.3151045,0.921000004,926.328,543.535,0.920000017,917.383,556.0672208,0.957000017,907.24,554.3419701,0.791999996,884.6920519,563.283,0.825999975,866.845,559.6214026,0.991999984,844.9167761,551.781,0.994000018,878.8151688,558.1214328,0.998000026,877.8006234,573.1103284,0.998000026
frame0016,917.2907463,455.3645373,0.912999988,926.268,543.578,0.907000005,917.404,556.0905974,0.958999991,907.249,554.1302687,0.782000005,884.564,562.672,0.861000001,866.67,559.5942857,0.991999984,844.6835821,554.1924156,0.995000005,878.9862857,557.7893731,0.998000026,878.0035325,573.0103881,0.998000026
frame0017,917.2660299,455.3645373,0.899999976,926.203,543.536,0.898999989,917.521,556.0541299,0.950999975,907.362,554.3570149,0.814999998,884.6714805,563.237,0.870999992,866.96,559.7663377,0.990999997,844.8952836,554.3784935,0.994000018,878.7768312,558.1579701,0.998000026,877.7426494,573.1092537,0.998000026
frame0018,917.1951045,455.5364776,0.921000004,926.349,543.635,0.921000004,917.5773506,556.0391688,0.952000022,907.126,554.878209,0.805000007,884.5358961,563.211,0.851999998,866.959,559.8953766,0.99000001,844.8189851,554.4308571,0.994000018,878.5888831,558.4792836,0.996999979,877.8398961,573.3972537,0.996999979
frame0019,917.1929552,455.6428657,0.916999996,926.282,543.594,0.921000004,917.435,556.0036364,0.944000006,907.3804675,554.6235224,0.818000019,884.4882078,563.369,0.853999972,867.097,559.3567792,0.980000019,845.1628657,554.5075325,0.995000005,878.6758442,558.5717015,0.998000026,877.959403,572.6020299,0.996999979
frame0020,917.2208955,455.6041791,0.915000021,926.306,543.601,0.921999991,917.494,556.0690909,0.947000027,907.372,554.5773134,0.819000006,884.6032208,563.284,0.859000027,866.953,559.6962078,0.991999984,845.0038209,554.4822857,0.995000005,878.5757922,558.2729552,0.996999979,877.9212468,573.0114627,0.998000026
frame0021,917.0414328,455.6654328,0.897000015,926.227,543.579,0.922999978,917.614,556.0363636,0.949000001,907.259,554.6353433,0.704999983,884.8809351,563.442,0.855000019,866.684,559.4717922,0.980000019,846.5244179,551.4292987,0.995000005,879.2808312,558.2552727,0.995999992,877.7248831,573.2116364,0.998000026
frame0022,960.3259925,502.0156866,0.43900001,926.372,543.444,0.94599998,917.708,555.8708571,0.959999979,905.7041194,554.2968358,0.624000013,884.023,563.729,0.827000022,866.264,559.296,0.967000008,846.590961,550.4811429,0.998000026,878.7664478,558.9854328,0.995999992,877.694961,573.1264478,0.994000018
frame0023,916.6620896,456.0372537,0.736999989,926.1660896,543.06,0.93599999,917.5016104,555.5613506,0.921999991,905.9222687,556.193,0.301999986,884.3890909,563.974,0.925000012,868.3382687,559.1702687,0.98299998,846.9864935,549.8153766,0.995999992,880.4439403,558.1096119,0.996999979,876.676,572.1437922,0.996999979
frame0024,917.0360597,455.641791,0.899999976,926.1736119,543.111,0.962000012,917.2753247,555.6688831,0.912999988,899.619,556.744,0.662,884.264,563.877,0.916000009,866.804,557.2928955,0.994000018,846.3535522,546.3112836,0.998000026,878.0792727,557.8839403,0.996999979,876.571,572.8694026,0.996999979
frame0025,,,,925.4686567,542.549,0.962000012,922.9819701,556.523,0.925000012,900.8022857,557.202,0.77700001,884.173,563.613,0.93900001,866.448,556.1871045,0.996999979,846.478209,545.4612537,0.999000013,877.8922597,556.8297313,0.998000026,876.394,571.6968312,0.996999979
frame0026,916.7749254,455.9770746,0.927999973,925.06,542.575,0.93900001,917.618,556.848,0.954999983,901.2193247,556.489,0.916999996,881.1048358,561.447403,0.972000003,868.3823284,556.9103284,0.998000026,851.036,544.409,1,877.6893506,555.0264935,0.999000013,876.0978701,571.0722078,0.999000013
frame0027,,,,925.2999403,542.1833766,0.978999972,917.205,557.235,0.978999972,899.404,556.896,0.964999974,881.0758209,561.1701493,0.986000001,865.7613134,555.5025672,1,850.54,544.638,1,877.3069091,552.2156883,1,876.119,570.2717922,0.999000013
frame0028,,,,925.6685373,542.217,0.981999993,916.484,555.9727792,0.98299998,899.346,556.986,0.967000008,881.3079403,560.7875821,0.975000024,865.5979701,554.4591045,1,850.7820896,542.5157015,1,877.161974,551.7603117,1,872.6839481,569.5115844,0.999000013
frame0029,917.0360597,455.9899701,0.879000008,925.1118806,545.635,0.947000027,916.136,555.8652468,0.98299998,898.622,557.021,0.930999994,878.2952727,558.1327792,0.987999976,865.1466269,550.35,1,849.969,540.9714627,1,877.2564156,551.4601558,1,871.8180779,570.1044156,0.999000013
frame0030,,,,925.314,546.2,0.823000014,916.6432208,563.6503881,0.975000024,897.6347463,557.379,0.814999998,881.7711045,556.3300299,0.953000009,863.4143284,548.0247273,0.998000026,848.75,538.1064935,0.999000013,875.8456119,547.623,0.996999979,871.6535065,562.801,0.992999971
frame0031,,,,925.4290909,545.851,0.916999996,916.4580779,563.8717612,0.964999974,892.85,556.684,0.778999984,880.2773731,554.526806,0.903999984,862.9436418,547.001,0.992999971,849.6327273,535.2947532,0.999000013,875.186,545.817,0.995000005,871.6628571,562.754,0.99000001
frame0032,,,,924.7567792,548.432597,0.828999996,915.563,563.8244776,0.97299999,891.986,555.606,0.907000005,874.661,549.401,0.866999984,859.7959481,542.4162078,0.990999997,852.979,530.2434627,0.999000013,875.123,544.586,0.989000022,868.562,556.5553247,0.964999974
frame0033,,,,925.6792836,552.1572537,0.674000025,916.113,563.9706269,0.990999997,891.271,554.55,0.936999977,872.5474286,547.177,0.861000001,860.1148052,539.91,0.996999979,853.628,527.9367273,1,875.454,541.002,0.994000018,867.894,556.3421299,0.986999989
frame0034,,,,926.027,548.182209,0.901000023,915.8174328,557.5792208,0.99000001,891.087,554.831,0.978999972,872.432597,544.1825455,0.862999976,862.0971429,535.3228052,0.998000026,854.282,522.2428657,1,875.566,538.8414545,0.995999992,870.465974,554.8706866,0.957000017
frame0035,,,,926.083,548.4476418,0.915000021,915.5477015,563.734209,0.995999992,891.653,549.9743377,0.967999995,871.4439403,543.0218507,0.941999972,863.6679403,534.4812468,1,854.959,519.9559481,1,876.407,536.8404156,0.995000005,871.657791,551.145974,0.907999992
frame0036,,,,924.9419221,549.0193433,0.93599999,915.8335522,563.8029851,0.996999979,891.932,550.003,0.976000011,872.5970149,543.2596364,0.953000009,864.1622687,534.3222857,1,854.987,519.2658701,1,877.2211343,537.1898507,0.992999971,871.6384478,550.3399481,0.933000028
frame0037,,,,926.258,548.7152239,0.952000022,916.0979104,563.6310448,0.994000018,891.333,549.1739221,0.968999982,877.1825455,542.7705974,0.880999982,864.7318209,534.0024935,1,854.403,518.7366234,1,878.0942338,535.9551045,0.996999979,871.1344478,550.5811948,0.964999974
frame0038,,,,926.563,549.3438806,0.976999998,916.4364179,563.4988657,0.992999971,891.39,549.3525195,0.970000029,877.5977143,542.4283636,0.769999981,865.512,530.664,0.999000013,854.302,518.1372468,1,877.9502338,536.048597,0.995000005,871.5417313,550.0472727,0.924000025
frame0039,,,,926.443,549.3116418,0.981000006,916.5041194,557.4941299,0.995000005,891.06,547.896,0.963999987,877.6631688,541.9206234,0.838999987,864.0472836,530.2241194,1,854.383,518.0063377,0.999000013,878.486961,534.9567761,0.995000005,871.531013,549.604987,0.931999981
frame0040,,,,926.089,548.665791,0.902999997,916.6556418,563.679403,0.995000005,891.639403,548.8934026,0.968999982,878.0016623,542.0440519,0.862999976,865.2465672,530.942,1,853.682,518.126,1,878.4972468,534.761194,0.995999992,870.920597,549.6246234,0.963
frame0041,,,,926.094,552.0121791,0.68599999,916.776,557.5997922,0.996999979,891.738,549.3085714,0.986000001,877.5951045,542.1412987,0.885999978,865.3035224,533.9856623,1,853.343,518.6767792,1,878.8348052,535.0352239,0.996999979,871.3020896,550.2398961,0.972000003
frame0042,,,,925.828,552.0745075,0.66900003,916.9479403,563.7986866,0.998000026,891.737,549.2262857,0.986000001,877.2909851,542.0421818,0.874000013,865.2057313,534.2802078,1,853.631,519.134961,1,878.5907532,535.1437612,0.995999992,871.0753433,550.3997922,0.977999985
